NAME,STATUS,ISIN CODE,CODE,TRADING COUNTER NAME
EX-IMBKKOR US$50M3.65%N471025,,XS1706316178,82VB,Ex-ImKor n3.65%471025S
EX-IMBKKOR US$50M3.65%N471127,,XS1725372863,85ZB,Ex-ImKor n3.65%471127S
EX-IMBKKOR US$50M3.66%231106,,XS0989288476,2L2B,ExImKor n3.66%231106S
EXIMBKKOR US$50M3.7%N471206,,XS1730996227,8CXB,ExImKor n3.7%471206S
EX-IMBKKOR US$50M3.87%251106,,XS0989288633,2L3B,ExImKor n3.87%251106S
EX-IMBKKOR US$50M4.03%251108,,XS0991121665,2K8B,ExImKor n4.03%251108S
EXIMBKKOR US$600MF221101,,US302154CN70,83KB,ExImBkKor f221101S
EXIMBKKOR US$700M2.375%N270421,,US302154CG20,60MB,ExImKor n2.375%270421S
EXIMBKKOR US$700M4%N270911,,US302154ED70,LAMB,ExImKor n4%270911S
EXIMBKKOR US$700MF230601,,US302154CU14,HHAB,ExImBkKor f230601S
EXIMBKKOR US$750M1.5%N191021,,US302154CD98,60NB,ExImKor n1.5%191021S
EXIMBKKOR US$750M2.5%N210510,,US302154BX61,37DB,ExImKor n2.5%210510S
EXIMBKKOR US$800M4%N290911,,US302154EE53,JNOB,ExImKor n4%290911S
EXIMBKKOR US$800MF210601,,US302154CT41,5U9B,ExImBkKor f210601S
EXIMBKKOR USD15M F260808,,XS2663663701,PJBB,ExImKor f260808S
EXIMBKKOR USD40M F271031,,XS2551278455,JCRB,ExImBkKor f271031S
EXIMBKKOR USD40MZ540726,,XS2865538859,LFSB,ExImBkKor z540726S
EXIMBKKOR USD45M F260807,,XS2663664188,IPQB,ExImKor f260807S
EX-IMBKKOR USD500M F220125,,US302154CL15,67UB,ExImKor f220125 S
EXIMBKKOR USD500M F270929,,XS2538344636,KJMB,ExImBkKor f270929S
EXIMBKKOR USD50M F270920,,XS2533029331,9MXB,ExImBkKor f270920S
EXIMBKKOR USD50M1.935%N210728,,XS1459416100,4N1B,ExImKor n1.935%210728S
EXIMBKKOR USD50M3.45%N300804,,XS1270532432,33XB,ExImKor n3.45%300804S
EXIMBKKOR USD750M F191021,,US302154CE71,60PB,ExImKor f191021 S
EXIMBKKORCAD325M2.711%N191205A,,CA302154BQ13,21WB,ExImKor n2.711%191205A
EXIMBKKORCAD325M2.711%N191205R,,CA302154BP30,21XB,ExImKor n2.711%191205R
